# Src-x Src-y Src-Int Rec-x Rec-y Rec-Int
0.0000 0.5000 8.0086 0.7317 1.0000 1.9796
0.0000 0.5000 7.0564 0.7561 1.0000 1.7049
0.0000 0.5000 2.9677 0.7805 1.0000 0.6988
0.0000 0.5000 7.2583 0.8049 1.0000 1.6692
0.0000 0.5000 9.3504 0.8293 1.0000 2.0647
0.0000 0.5000 1.8027 0.8537 1.0000 0.3869
0.0000 0.5000 4.7396 0.8780 1.0000 0.9775
0.0000 0.5000 5.4863 0.9024 1.0000 1.0943
0.0000 0.5000 4.4911 0.9268 1.0000 0.8737
0.0000 0.5000 4.0134 0.9512 1.0000 0.7622
0.0000 0.5000 6.2394 0.9756 1.0000 1.1579
0.0000 0.5000 8.2093 0.0000 1.0000 4.8147
0.0000 0.5000 2.8432 1.0000 0.0000 0.5901
0.0000 0.5000 9.9246 1.0000 1.0000 1.7982
0.0000 0.6000 9.5805 1.0000 0.0244 1.9618
0.0000 0.6000 5.7190 1.0000 0.0488 1.1620
0.0000 0.6000 9.5883 1.0000 0.0732 1.9377
0.0000 0.6000 7.5723 1.0000 0.0976 1.5621
0.0000 0.6000 9.4631 1.0000 0.1220 1.9637
0.0000 0.6000 4.0969 1.0000 0.1463 0.8206
0.0000 0.6000 7.1998 1.0000 0.1707 1.4714
0.0000 0.6000 9.0609 1.0000 0.1951 1.9147
0.0000 0.6000 3.1306 1.0000 0.2195 0.6445
0.0000 0.6000 7.8159 1.0000 0.2439 1.6665
0.0000 0.6000 9.4399 1.0000 0.2683 2.1189
0.0000 0.6000 2.8712 1.0000 0.2927 0.6458
0.0000 0.6000 9.0145 1.0000 0.3171 2.0200
0.0000 0.6000 2.2009 1.0000 0.3415 0.5301
0.0000 0.6000 6.6238 1.0000 0.3659 1.5706
0.0000 0.6000 1.5282 1.0000 0.3902 0.3599
0.0000 0.6000 3.7468 1.0000 0.4146 0.8862
0.0000 0.6000 1.7829 1.0000 0.4390 0.4331
0.0000 0.6000 2.6060 1.0000 0.4634 0.6356
0.0000 0.6000 6.4395 1.0000 0.4878 1.5355
0.0000 0.6000 9.9551 1.0000 0.5122 2.2699
0.0000 0.6000 6.5012 1.0000 0.5366 1.4560
0.0000 0.6000 1.7240 1.0000 0.5610 0.3805
0.0000 0.6000 8.4596 1.0000 0.5854 1.8131
0.0000 0.6000 3.9757 1.0000 0.6098 0.8371
0.0000 0.6000 5.7602 1.0000 0.6341 1.2023
0.0000 0.6000 4.8194 1.0000 0.6585 0.9835
0.0000 0.6000 6.7325 1.0000 0.6829 1.3611
0.0000 0.6000 9.9971 1.0000 0.7073 2.0121
0.0000 0.6000 9.3502 1.0000 0.7317 1.8738
0.0000 0.6000 4.1164 1.0000 0.7561 0.8211
0.0000 0.6000 6.0629 1.0000 0.7805 1.2050
0.0000 0.6000 2.2749 1.0000 0.8049 0.4511
0.0000 0.6000 7.3894 1.0000 0.8293 1.4921
0.0000 0.6000 5.1232 1.0000 0.8537 1.0328
0.0000 0.6000 6.7488 1.0000 0.8780 1.3524
0.0000 0.6000 1.4912 1.0000 0.9024 0.2973
0.0000 0.6000 6.6770 1.0000 0.9268 1.3252
0.0000 0.6000 4.8276 1.0000 0.9512 0.9540
0.0000 0.6000 9.5709 1.0000 0.9756 1.8925
0.0000 0.6000 2.0995 0.0244 1.0000 1.4063
0.0000 0.6000 4.1008 0.0488 1.0000 2.7407
0.0000 0.6000 8.0760 0.0732 1.0000 5.3777
0.0000 0.6000 3.8049 0.0976 1.0000 2.5208
